Altura (nm),Frecuencia
0.000000,7.000000
0.586063,20.000000
1.172126,38.000000
1.758189,59.000000
2.344252,46.000000
2.930315,60.000000
3.516378,41.000000
4.102441,42.000000
4.688504,111.000000
5.274567,152.000000
5.860630,199.000000
6.446693,275.000000
7.032756,430.000000
7.618819,563.000000
8.204882,915.000000
8.790945,1502.000000
9.377008,2147.000000
9.963071,3149.000000
10.549134,3808.000000
11.135197,4694.000000
11.721260,5687.000000
12.307323,6513.000000
12.893386,7388.000000
13.479449,8019.000000
14.065512,8739.000000
14.651575,8951.000000
15.237638,8705.000000
15.823701,8841.000000
16.409764,8837.000000
16.995827,8748.000000
17.581890,8902.000000
18.167953,8988.000000
18.754016,8982.000000
19.340079,8782.000000
19.926142,8607.000000
20.512205,8526.000000
21.098268,8050.000000
21.684331,7977.000000
22.270394,7818.000000
22.856457,7364.000000
23.442520,6855.000000
24.028583,6545.000000
24.614646,6081.000000
25.200709,5837.000000
25.786772,5565.000000
26.372835,5241.000000
26.958898,4735.000000
27.544961,4327.000000
28.131024,4043.000000
28.717087,3698.000000
29.303150,3324.000000
29.889213,2881.000000
30.475276,2613.000000
31.061339,2276.000000
31.647402,2141.000000
32.233465,1841.000000
32.819528,1587.000000
33.405591,1440.000000
33.991654,1116.000000
34.577717,930.000000
35.163780,864.000000
35.749843,858.000000
36.335906,655.000000
36.921969,558.000000
37.508032,452.000000
38.094095,428.000000
38.680158,291.000000
39.266221,256.000000
39.852284,251.000000
40.438347,194.000000
41.024410,185.000000
41.610473,137.000000
42.196536,143.000000
42.782599,149.000000
43.368662,148.000000
43.954725,149.000000
44.540788,125.000000
45.126851,93.000000
45.712914,95.000000
46.298977,69.000000
46.885040,53.000000
47.471103,93.000000
48.057166,46.000000
48.643229,26.000000
49.229292,8.000000
49.815355,5.000000
50.401418,6.000000
50.987481,13.000000
51.573544,9.000000
52.159607,10.000000
52.745670,3.000000
53.331733,0.000000
53.917796,4.000000
54.503859,3.000000
55.089922,1.000000
55.675985,2.000000
56.262048,1.000000
56.848111,1.000000
57.434174,1.000000
58.020237,1.000000
